iter	Poisson
0	0.9289685442
1	0.8652080025
2	0.8096080778
3	0.7600910228
4	0.7153030742
5	0.6752663537
6	0.6394169598
7	0.606685635
8	0.576059888
9	0.5484550844
10	0.5245841411
11	0.5023882948
12	0.4829030541
13	0.4646407449
14	0.4475563737
15	0.4323326984
16	0.4188349374
17	0.4062295292
18	0.3948174113
19	0.38460619
20	0.3745755784
21	0.3657950763
22	0.3573555058
23	0.3500688149
24	0.3429998078
25	0.3369936061
26	0.3312407251
27	0.3256566532
28	0.3204267716
29	0.3160569584
30	0.3120519764
31	0.3082074752
32	0.304434216
33	0.3009341746
34	0.2978734404
35	0.2951061974
36	0.2925824873
37	0.2902678715
38	0.287739455
39	0.2854363326
40	0.2835836439
41	0.2817483672
42	0.279870573
43	0.2783057873
44	0.276848721
45	0.2754848446
46	0.2740631144
47	0.2727047505
48	0.2715478899
49	0.2703882379
50	0.2693013856
51	0.2683126932
52	0.2673462333
53	0.2664393109
54	0.2655712399
55	0.2648777391
56	0.2641571033
57	0.2635741915
58	0.2629744726
59	0.2625135851
60	0.2619960944
61	0.2614623879
62	0.2610347447
63	0.2605734603
64	0.2601165588
65	0.2597470756
66	0.2594740463
67	0.2590825955
68	0.2587094747
69	0.2583965914
70	0.2581071866
71	0.2578183056
72	0.2575149617
73	0.2572480049
74	0.2569701692
75	0.2567349786
76	0.2564824711
77	0.2563071561
78	0.2561401113
79	0.2559201112
80	0.2557616096
81	0.2555869717
82	0.2554704121
83	0.2553021742
84	0.2551847752
85	0.2550344676
86	0.2549019684
87	0.2547518881
88	0.2546204374
89	0.2545200593
90	0.2544271933
91	0.2543442328
92	0.2542417657
93	0.2541349449
94	0.2540430888
95	0.2539760498
96	0.2538800107
97	0.2538196696
98	0.2537601293
99	0.2537016604
100	0.2535938352
101	0.253497466
102	0.2534498702
103	0.2533587951
104	0.2532740389
105	0.2532073701
106	0.2531672397
107	0.2530976316
108	0.2530335007
109	0.2529595383
110	0.2529008918
111	0.2528711095
112	0.2528366287
113	0.252805671
114	0.2527429724
115	0.2527049878
116	0.2526729557
117	0.2526502681
118	0.2525913782
119	0.2525648788
120	0.2525249007
121	0.2524824559
122	0.2524350658
123	0.2523940415
124	0.252356706
125	0.2523051896
126	0.2522876535
127	0.2522651596
128	0.2522368243
129	0.2521951556
130	0.2521699024
131	0.252138033
132	0.2520949594
133	0.2520799562
134	0.2520615726
135	0.2520258715
136	0.2520097052
137	0.2519741293
138	0.251940927
139	0.2519224019
140	0.251888503
141	0.25186432
142	0.2518465621
143	0.2518239515
144	0.2517926348
145	0.2517751431
146	0.2517637024
147	0.2517501501
148	0.2517297621
149	0.2517043273
150	0.2516735287
151	0.2516600939
152	0.2516334189
153	0.2516179616
154	0.2515853657
155	0.2515761037
156	0.2515533211
157	0.2515477569
158	0.2515393802
159	0.2515143906
160	0.2514969582
161	0.2514867623
162	0.2514763942
163	0.2514631894
164	0.2514539276
165	0.2514362984
166	0.2514251696
167	0.251419409
168	0.2513978278
169	0.2513869754
170	0.2513766744
171	0.251348549
172	0.2513381985
