iter	Passed	Remaining
0	69	3393
1	143	3448
2	228	3580
3	304	3498
4	367	3311
5	443	3250
6	506	3110
7	562	2952
8	621	2832
9	690	2760
10	748	2652
11	810	2566
12	879	2502
13	940	2419
14	1006	2348
15	1073	2281
16	1143	2220
17	1208	2148
18	1267	2068
19	1331	1996
20	1391	1921
21	1449	1844
22	1507	1770
23	1566	1697
24	1622	1622
25	1677	1548
26	1732	1475
27	1783	1401
28	1841	1333
29	1904	1269
30	1974	1210
31	2042	1149
32	2115	1089
33	2189	1030
34	2264	970
35	2361	918
36	2442	858
37	2514	794
38	2593	731
39	2650	662
40	2718	596
41	2783	530
42	2866	466
43	2956	403
44	3030	336
45	3097	269
46	3183	203
47	3261	135
48	3343	68
49	3410	0
